timestep, s, u, i, r
0, 579, 0, 19, 2
1, 579, 0, 16, 5
2, 579, 0, 14, 7
3, 579, 0, 14, 7
4, 579, 0, 13, 8
5, 579, 0, 12, 9
6, 579, 0, 10, 11
7, 579, 0, 9, 12
8, 579, 0, 9, 12
9, 579, 0, 8, 13
10, 579, 0, 7, 14
11, 579, 0, 7, 14
12, 579, 0, 7, 14
13, 579, 0, 7, 14
14, 579, 0, 7, 14
15, 579, 0, 7, 14
16, 579, 0, 5, 16
17, 579, 0, 3, 18
18, 579, 0, 3, 18
19, 579, 0, 2, 19
20, 579, 0, 2, 19
21, 579, 0, 2, 19
22, 579, 0, 2, 19
23, 579, 0, 1, 20
24, 579, 0, 1, 20
25, 579, 0, 1, 20
26, 579, 0, 1, 20
27, 579, 0, 0, 21
