timestep, s, u, i, r
0, 594, 0, 6, 0
1, 566, 0, 33, 1
2, 543, 0, 47, 10
3, 521, 0, 64, 15
4, 506, 0, 77, 17
5, 477, 0, 96, 27
6, 446, 0, 115, 39
7, 425, 0, 122, 53
8, 414, 0, 116, 70
9, 395, 0, 121, 84
10, 366, 0, 139, 95
11, 343, 0, 143, 114
12, 321, 0, 151, 128
13, 310, 0, 150, 140
14, 294, 0, 148, 158
15, 284, 0, 142, 174
16, 273, 0, 141, 186
17, 267, 0, 136, 197
18, 257, 0, 136, 207
19, 236, 0, 146, 218
20, 223, 0, 145, 232
21, 211, 0, 147, 242
22, 199, 0, 137, 264
23, 191, 0, 134, 275
24, 175, 0, 128, 297
25, 164, 0, 128, 308
26, 153, 0, 124, 323
27, 147, 0, 113, 340
28, 132, 0, 110, 358
29, 127, 0, 99, 374
30, 115, 0, 105, 380
31, 100, 0, 111, 389
32, 88, 0, 113, 399
33, 72, 0, 115, 413
34, 57, 0, 113, 430
35, 42, 0, 119, 439
36, 30, 0, 114, 456
37, 17, 0, 119, 464
38, 9, 0, 113, 478
39, 3, 0, 113, 484
40, 2, 0, 98, 500
41, 2, 0, 87, 511
42, 0, 0, 79, 521
43, 0, 0, 72, 528
44, 0, 0, 63, 537
45, 0, 0, 58, 542
46, 0, 0, 54, 546
47, 0, 0, 48, 552
48, 0, 0, 45, 555
49, 0, 0, 43, 557
50, 0, 0, 38, 562
51, 0, 0, 36, 564
52, 0, 0, 31, 569
53, 0, 0, 29, 571
54, 0, 0, 28, 572
55, 0, 0, 26, 574
56, 0, 0, 24, 576
57, 0, 0, 24, 576
58, 0, 0, 22, 578
59, 0, 0, 22, 578
60, 0, 0, 20, 580
61, 0, 0, 20, 580
62, 0, 0, 19, 581
63, 0, 0, 18, 582
64, 0, 0, 17, 583
65, 0, 0, 16, 584
66, 0, 0, 13, 587
67, 0, 0, 10, 590
68, 0, 0, 7, 593
69, 0, 0, 7, 593
70, 0, 0, 7, 593
71, 0, 0, 5, 595
72, 0, 0, 5, 595
73, 0, 0, 5, 595
74, 0, 0, 4, 596
75, 0, 0, 4, 596
76, 0, 0, 4, 596
77, 0, 0, 4, 596
78, 0, 0, 4, 596
79, 0, 0, 4, 596
80, 0, 0, 4, 596
81, 0, 0, 3, 597
82, 0, 0, 3, 597
83, 0, 0, 2, 598
84, 0, 0, 2, 598
85, 0, 0, 2, 598
86, 0, 0, 2, 598
87, 0, 0, 2, 598
88, 0, 0, 2, 598
89, 0, 0, 1, 599
90, 0, 0, 1, 599
91, 0, 0, 1, 599
92, 0, 0, 1, 599
93, 0, 0, 1, 599
94, 0, 0, 1, 599
95, 0, 0, 1, 599
96, 0, 0, 1, 599
97, 0, 0, 1, 599
98, 0, 0, 1, 599
99, 0, 0, 1, 599
