timestep, s, u, i, r
0, 584, 0, 16, 0
1, 568, 0, 25, 7
2, 551, 0, 37, 12
3, 532, 0, 54, 14
4, 501, 0, 73, 26
5, 478, 0, 85, 37
6, 458, 0, 99, 43
7, 439, 0, 109, 52
8, 414, 0, 124, 62
9, 389, 0, 139, 72
10, 374, 0, 140, 86
11, 351, 0, 148, 101
12, 336, 0, 149, 115
13, 325, 0, 147, 128
14, 310, 0, 142, 148
15, 295, 0, 138, 167
16, 289, 0, 133, 178
17, 283, 0, 127, 190
18, 267, 0, 131, 202
19, 259, 0, 124, 217
20, 252, 0, 119, 229
21, 247, 0, 112, 241
22, 243, 0, 104, 253
23, 240, 0, 93, 267
24, 236, 0, 83, 281
25, 235, 0, 72, 293
26, 235, 0, 66, 299
27, 234, 0, 56, 310
28, 229, 0, 54, 317
29, 228, 0, 49, 323
30, 226, 0, 48, 326
31, 222, 0, 47, 331
32, 221, 0, 44, 335
33, 219, 0, 42, 339
34, 217, 0, 39, 344
35, 215, 0, 37, 348
36, 212, 0, 34, 354
37, 208, 0, 35, 357
38, 206, 0, 34, 360
39, 202, 0, 35, 363
40, 199, 0, 34, 367
41, 199, 0, 31, 370
42, 196, 0, 32, 372
43, 193, 0, 33, 374
44, 191, 0, 31, 378
45, 190, 0, 29, 381
46, 187, 0, 29, 384
47, 185, 0, 30, 385
48, 182, 0, 29, 389
49, 179, 0, 29, 392
50, 177, 0, 27, 396
51, 176, 0, 25, 399
52, 176, 0, 23, 401
53, 173, 0, 25, 402
54, 172, 0, 24, 404
55, 171, 0, 24, 405
56, 168, 0, 26, 406
57, 165, 0, 26, 409
58, 162, 0, 20, 418
59, 157, 0, 23, 420
60, 153, 0, 23, 424
61, 149, 0, 24, 427
62, 147, 0, 21, 432
63, 147, 0, 19, 434
64, 147, 0, 19, 434
65, 147, 0, 17, 436
66, 146, 0, 17, 437
67, 146, 0, 16, 438
68, 144, 0, 17, 439
69, 142, 0, 16, 442
70, 141, 0, 17, 442
71, 138, 0, 18, 444
72, 136, 0, 19, 445
73, 135, 0, 18, 447
74, 134, 0, 18, 448
75, 134, 0, 17, 449
76, 132, 0, 17, 451
77, 128, 0, 18, 454
78, 128, 0, 18, 454
79, 124, 0, 20, 456
80, 123, 0, 21, 456
81, 120, 0, 23, 457
82, 116, 0, 25, 459
83, 116, 0, 22, 462
84, 114, 0, 21, 465
85, 113, 0, 18, 469
86, 112, 0, 17, 471
87, 108, 0, 18, 474
88, 104, 0, 20, 476
89, 104, 0, 18, 478
90, 103, 0, 16, 481
91, 100, 0, 18, 482
92, 99, 0, 15, 486
93, 99, 0, 13, 488
94, 98, 0, 11, 491
95, 97, 0, 11, 492
96, 96, 0, 11, 493
97, 94, 0, 13, 493
98, 92, 0, 14, 494
99, 92, 0, 13, 495
