timestep, s, u, i, r
0, 589, 0, 11, 0
1, 573, 0, 23, 4
2, 563, 0, 30, 7
3, 550, 0, 40, 10
4, 540, 0, 46, 14
5, 523, 0, 58, 19
6, 516, 0, 63, 21
7, 499, 0, 71, 30
8, 473, 0, 86, 41
9, 453, 0, 98, 49
10, 441, 0, 98, 61
11, 413, 0, 113, 74
12, 393, 0, 122, 85
13, 379, 0, 127, 94
14, 369, 0, 123, 108
15, 360, 0, 122, 118
16, 353, 0, 115, 132
17, 346, 0, 111, 143
18, 335, 0, 110, 155
19, 316, 0, 118, 166
20, 304, 0, 117, 179
21, 292, 0, 120, 188
22, 283, 0, 114, 203
23, 277, 0, 109, 214
24, 271, 0, 102, 227
25, 264, 0, 98, 238
26, 257, 0, 93, 250
27, 249, 0, 93, 258
28, 242, 0, 89, 269
29, 242, 0, 77, 281
30, 237, 0, 76, 287
31, 233, 0, 73, 294
32, 229, 0, 70, 301
33, 225, 0, 68, 307
34, 221, 0, 61, 318
35, 217, 0, 60, 323
36, 212, 0, 61, 327
37, 210, 0, 59, 331
38, 206, 0, 56, 338
39, 203, 0, 57, 340
40, 199, 0, 53, 348
41, 195, 0, 52, 353
42, 190, 0, 53, 357
43, 184, 0, 52, 364
44, 177, 0, 56, 367
45, 170, 0, 58, 372
46, 164, 0, 60, 376
47, 161, 0, 54, 385
48, 155, 0, 57, 388
49, 150, 0, 56, 394
50, 147, 0, 53, 400
51, 143, 0, 49, 408
52, 140, 0, 47, 413
53, 134, 0, 49, 417
54, 132, 0, 45, 423
55, 129, 0, 43, 428
56, 126, 0, 45, 429
57, 124, 0, 41, 435
58, 122, 0, 41, 437
59, 119, 0, 39, 442
60, 115, 0, 40, 445
61, 112, 0, 37, 451
62, 107, 0, 39, 454
63, 101, 0, 42, 457
64, 98, 0, 40, 462
65, 92, 0, 42, 466
66, 87, 0, 40, 473
67, 86, 0, 38, 476
68, 80, 0, 40, 480
69, 76, 0, 38, 486
70, 70, 0, 38, 492
71, 63, 0, 40, 497
72, 58, 0, 40, 502
73, 56, 0, 42, 502
74, 49, 0, 42, 509
75, 47, 0, 42, 511
76, 43, 0, 41, 516
77, 41, 0, 41, 518
78, 38, 0, 42, 520
79, 37, 0, 38, 525
80, 35, 0, 36, 529
81, 34, 0, 33, 533
82, 33, 0, 32, 535
83, 32, 0, 30, 538
84, 31, 0, 29, 540
85, 30, 0, 21, 549
86, 29, 0, 19, 552
87, 29, 0, 15, 556
88, 28, 0, 14, 558
89, 27, 0, 12, 561
90, 26, 0, 13, 561
91, 26, 0, 13, 561
92, 26, 0, 13, 561
93, 24, 0, 12, 564
94, 23, 0, 11, 566
95, 23, 0, 11, 566
96, 22, 0, 11, 567
97, 22, 0, 11, 567
98, 22, 0, 10, 568
99, 22, 0, 9, 569
