timestep, s, u, i, r
0, 590, 5, 5, 0
1, 586, 7, 5, 2
2, 581, 10, 5, 4
3, 570, 18, 7, 5
4, 552, 31, 9, 8
5, 535, 37, 12, 16
6, 515, 46, 18, 21
7, 498, 44, 27, 31
8, 486, 38, 34, 42
9, 470, 35, 42, 53
10, 457, 34, 49, 60
11, 434, 46, 48, 72
12, 421, 41, 58, 80
13, 405, 44, 59, 92
14, 393, 35, 67, 105
15, 384, 31, 73, 112
16, 371, 29, 76, 124
17, 362, 26, 81, 131
18, 352, 27, 79, 142
19, 340, 28, 74, 158
20, 327, 30, 74, 169
21, 316, 29, 72, 183
22, 308, 25, 73, 194
23, 301, 23, 76, 200
24, 298, 14, 78, 210
25, 293, 15, 73, 219
26, 288, 12, 73, 227
27, 284, 12, 67, 237
28, 279, 12, 65, 244
29, 273, 15, 61, 251
30, 267, 17, 59, 257
31, 258, 20, 57, 265
32, 257, 15, 58, 270
33, 251, 16, 54, 279
34, 246, 10, 55, 289
35, 245, 10, 49, 296
36, 231, 18, 46, 305
37, 225, 18, 45, 312
38, 220, 21, 44, 315
39, 213, 17, 46, 324
40, 210, 14, 46, 330
41, 205, 12, 47, 336
42, 203, 9, 48, 340
43, 201, 8, 44, 347
44, 193, 11, 44, 352
45, 193, 8, 42, 357
46, 191, 9, 37, 363
47, 191, 2, 39, 368
48, 186, 6, 35, 373
49, 184, 6, 33, 377
50, 182, 8, 30, 380
51, 181, 5, 31, 383
52, 177, 6, 29, 388
53, 174, 6, 26, 394
54, 172, 7, 22, 399
55, 170, 7, 20, 403
56, 169, 3, 19, 409
57, 168, 2, 16, 414
58, 168, 2, 14, 416
59, 165, 4, 15, 416
60, 164, 3, 12, 421
61, 163, 4, 10, 423
62, 160, 5, 11, 424
63, 160, 4, 12, 424
64, 160, 3, 11, 426
65, 159, 1, 11, 429
66, 159, 1, 9, 431
67, 157, 3, 9, 431
68, 157, 1, 9, 433
69, 157, 1, 7, 435
70, 156, 1, 6, 437
71, 156, 1, 5, 438
72, 156, 1, 5, 438
73, 156, 0, 6, 438
74, 156, 0, 5, 439
75, 156, 0, 5, 439
76, 156, 0, 4, 440
77, 156, 0, 4, 440
78, 156, 0, 4, 440
79, 156, 0, 4, 440
80, 156, 0, 4, 440
81, 156, 0, 4, 440
82, 156, 0, 2, 442
83, 156, 0, 2, 442
84, 156, 0, 2, 442
85, 156, 0, 0, 444
