timestep, s, u, i, r
0, 587, 8, 5, 0
1, 572, 21, 4, 3
2, 549, 38, 4, 9
3, 536, 41, 10, 13
4, 526, 35, 17, 22
5, 515, 25, 31, 29
6, 505, 26, 33, 36
7, 500, 23, 36, 41
8, 496, 17, 43, 44
9, 492, 11, 48, 49
10, 484, 16, 48, 52
11, 471, 25, 50, 54
12, 451, 39, 46, 64
13, 434, 44, 47, 75
14, 423, 38, 54, 85
15, 410, 34, 66, 90
16, 403, 26, 67, 104
17, 394, 24, 64, 118
18, 389, 20, 67, 124
19, 389, 12, 62, 137
20, 387, 6, 68, 139
21, 385, 3, 66, 146
22, 383, 5, 57, 155
23, 381, 4, 50, 165
24, 370, 14, 41, 175
25, 362, 18, 35, 185
26, 354, 22, 28, 196
27, 343, 24, 34, 199
28, 340, 20, 36, 204
29, 337, 15, 34, 214
30, 329, 14, 38, 219
31, 325, 13, 37, 225
32, 322, 13, 38, 227
33, 318, 8, 40, 234
34, 317, 7, 38, 238
35, 314, 6, 37, 243
36, 312, 6, 34, 248
37, 299, 14, 32, 255
38, 289, 19, 31, 261
39, 284, 20, 31, 265
40, 281, 16, 35, 268
41, 278, 9, 43, 270
42, 277, 6, 42, 275
43, 277, 4, 38, 281
44, 277, 0, 39, 284
45, 277, 0, 37, 286
46, 277, 0, 34, 289
47, 277, 0, 28, 295
48, 277, 0, 27, 296
49, 277, 0, 24, 299
50, 277, 0, 22, 301
51, 277, 0, 20, 303
52, 277, 0, 20, 303
53, 277, 0, 19, 304
54, 277, 0, 19, 304
55, 277, 0, 19, 304
56, 277, 0, 17, 306
57, 277, 0, 15, 308
58, 277, 0, 14, 309
59, 277, 0, 13, 310
60, 277, 0, 10, 313
61, 277, 0, 10, 313
62, 277, 0, 10, 313
63, 277, 0, 9, 314
64, 277, 0, 9, 314
65, 277, 0, 9, 314
66, 277, 0, 9, 314
67, 277, 0, 7, 316
68, 277, 0, 7, 316
69, 277, 0, 4, 319
70, 277, 0, 4, 319
71, 277, 0, 4, 319
72, 277, 0, 2, 321
73, 277, 0, 2, 321
74, 277, 0, 1, 322
75, 277, 0, 1, 322
76, 277, 0, 1, 322
77, 277, 0, 1, 322
78, 277, 0, 1, 322
79, 277, 0, 1, 322
80, 277, 0, 1, 322
81, 277, 0, 1, 322
82, 277, 0, 1, 322
83, 277, 0, 1, 322
84, 277, 0, 1, 322
85, 277, 0, 1, 322
86, 277, 0, 1, 322
87, 277, 0, 1, 322
88, 277, 0, 1, 322
89, 277, 0, 1, 322
90, 277, 0, 1, 322
91, 277, 0, 0, 323
